variable,exposure_type,lag_window,exposure_value,exposure_probability,reference_value,RR_median,RR_lower,RR_upper,model_key,specification_order
t2m,lag,3,0.171520487,0.01,17.83579852,0.992435523521205,0.973423688764863,1.00914739756182,t2m__lag,1
t2m,lag,3,1.615605291,0.02,17.83579852,0.995980115848747,0.978590652261862,1.01107090793558,t2m__lag,1
t2m,lag,3,2.48329172732,0.03,17.83579852,0.997755525743163,0.981169709768606,1.01222061802126,t2m__lag,1
t2m,lag,3,3.1816965228,0.04,17.83579852,0.999138907373123,0.98297803757346,1.01287126432913,t2m__lag,1
t2m,lag,3,3.720964686,0.05,17.83579852,1.00000444016057,0.984319854420048,1.0137096289368,t2m__lag,1
t2m,lag,3,4.2180250294,0.06,17.83579852,1.00075383149609,0.985388605541133,1.01421046949047,t2m__lag,1
t2m,lag,3,4.659152603,0.07,17.83579852,1.00135434528637,0.986437404544621,1.0149036725019,t2m__lag,1
t2m,lag,3,5.05215164148,0.08,17.83579852,1.00194664833006,0.987410624350957,1.01538716565619,t2m__lag,1
t2m,lag,3,5.410470581,0.09,17.83579852,1.00224096537728,0.988188424888883,1.01563985060389,t2m__lag,1
t2m,lag,3,5.7758229574,0.1,17.83579852,1.00266950193883,0.988921235470738,1.01596337896006,t2m__lag,1
t2m,lag,3,6.081271108,0.11,17.83579852,1.00305559923279,0.989538179610822,1.01629247730549,t2m__lag,1
t2m,lag,3,6.3815017704,0.12,17.83579852,1.00347526560115,0.990084632407517,1.01645673780864,t2m__lag,1
t2m,lag,3,6.669326401,0.13,17.83579852,1.00384611396913,0.990645700055176,1.01657319613088,t2m__lag,1
t2m,lag,3,6.987252808,0.14,17.83579852,1.00412102981021,0.991019532739307,1.0166520552613,t2m__lag,1
t2m,lag,3,7.3000606538,0.15,17.83579852,1.00432984007589,0.991558248207128,1.01667779857309,t2m__lag,1
t2m,lag,3,7.56251696276,0.16,17.83579852,1.00446027914914,0.991968680442967,1.0167150845914,t2m__lag,1
t2m,lag,3,7.833937581,0.17,17.83579852,1.00463445733106,0.992402396360125,1.01674349532981,t2m__lag,1
t2m,lag,3,8.106818136,0.18,17.83579852,1.00466175445315,0.992616815113455,1.01672522397065,t2m__lag,1
t2m,lag,3,8.38318438184,0.19,17.83579852,1.00482324591274,0.992686641636272,1.01665819672809,t2m__lag,1
t2m,lag,3,8.6330629984,0.2,17.83579852,1.00489742719662,0.99275781344658,1.01655603025232,t2m__lag,1
t2m,lag,3,8.865783946,0.21,17.83579852,1.00494660155567,0.99284097819608,1.01642682090876,t2m__lag,1
t2m,lag,3,9.143575923,0.22,17.83579852,1.00492151041995,0.993112482834439,1.01622527553472,t2m__lag,1
t2m,lag,3,9.428089396,0.23,17.83579852,1.00488367051585,0.99338559418907,1.01596483304324,t2m__lag,1
